"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_819_Drax.d:33","Chwileczkę. To ciebie właśnie do nas wrzucili, prawda? Nie musisz nic mówić, już wiem.","Секундочку. Ти той хлопець, якого вони щойно кинули, так? Ні, нічого не кажи, я знаю.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-89011","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:34","Masz wypisane na gębie pytanie: „W co ja się, kurwa, wpakowałem?”","У тебе на обличчі написано: „У що я, трясця, вляпався?”","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-20861","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:35","Pewnie już wiesz, że tu utknęliśmy?","Думаю, ти вже знаєш, що ми тут застрягли?","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-10911","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:40","Tak, jestem tu nowy, ale przysyła mnie twój kumpel, Ratford.","Я новенький, так, але насправді мене прислав твій друг Ретфорд.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-9657","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:41","Powiedział, że mogę u was przenocować, ale kazał pomóc w polowaniu.","Він сказав, що я можу ночувати у вашому таборі, і попросив мене допомагати в полюванні.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-46836","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:42","Rat? I co? Znalazł Jorika?","Рет? Він знайшов Йоріка?","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-58516","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:43","Tak, nie żyje.","Він мертвий.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-8890","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:44","Rozumiem. Szkoda, ale jakoś mnie to nie dziwi.","... Зрозуміло. Прикро, але не дивно.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-97866","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:45","Czyli chcesz mi pomóc w polowaniu... Miło z twojej strony. Dobra, czemu nie. Do dzieła.","То ти тут, щоб допомогти мені полювати... Як мило з твого боку. Чому б і ні. Зробімо це.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-26302","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:53","Tak, szukam bezpiecznego miejsca na nocleg. Podobno łazi tu jakiś cieniostwór.","Так. Я шукаю місце для табору - мабуть, тут поблизості тіньоствор.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-43176","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:54","To prawda. Też go widzieliśmy. Wielki skurwysyn.","Так. Ми теж його бачили ... це величезна потвора.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-70619","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:55","Co powiesz na układ? Pomożesz mi upolować to stado ścierwojadów, a my podzielimy się z tobą jadłem i będziesz mógł się przespać przy naszym ognisku.","Хм... гей, чому б нам не укласти угоду? Ти допомагаєш мені вполювати цю зграю падлюк, а натомість ми ділимося їжею, і ти можеш спати біля нашого вогнища.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-49351","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:56","Jest w starym obozie górniczym naprzeciwko zalanej kopalni. Nieźle osłonięte miejsce. Co ty na to?","Він у старому таборі копачів навпроти затопленої шахти, і добре захищений. Що скажеш?","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-43533","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:58","Nie jestem zainteresowany.","Мені це не цікаво.","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_No","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:59","A ty co z tego masz? Spokojnie dałbyś radę tym ścierwojadom w pojedynkę.","А тобі що з того? Виглядаєш так, ніби сам міг би вбити тих стервожерів.","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:60","Skąd mam wiedzieć, że to nie pułapka?","Звідки мені знати, що це не пастка?","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_Maybe_Its_A_Trap","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:61","Nie brzmisz, jakbyś był z Khorinis.","Твоя загальна мова не звучить так, ніби ти з Хорініса.","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_You_Are_Not_From_Khorinis","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:62","„Naszym” ognisku?","Нашому вогнищі?","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_About_Fire","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:72","„Naszym” ognisku?","Нашому вогнищі?","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-47782","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:73","Taa, jest moje i moich ziomków.","Так, у мене і мого друга. Познайомишся з ним.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-87244","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:83","Nie brzmisz, jakbyś był z Khorinis.","Твоя загальна мова не звучить так, ніби ти з Хорініса.","","False","Drax-CH0-None-Hero-72487","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:85","Ty też nie.","Як і твоя.","","False","Drax-CH0-None-Drax-86382","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:85","To skąd jesteś? Krainy Centralne?","Звідки ти родом? З Мідленду?","","False","Drax-CH0-None-Hero-57725","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:89","Może tak, może nie.","Може, так, а може, ні..","","False","Drax-CH0-None-Drax-47752","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:94","Skąd mam wiedzieć, że to nie pułapka?","Звідки мені знати, що це не пастка?","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-80576","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:95","A wyglądam ci na złego złoczyńcę, który chce ograbić biedną świeżynkę z całego nieistniejącego dobytku?","Тобто, виходить, я великий злий негідник, який хоче відібрати у бідолашного новачка всі брилки руди, яких у нього нема?","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-27434","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:96","Bez urazy, przyjacielu, ale gdybym miał z tobą problem, już byś nie żył.","Не ображайся, друже, але якби у мене були проблеми з тобою, ти був би вже мертвий.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-91704","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:102","A ty co z tego masz? Spokojnie dałbyś radę tym ścierwojadom w pojedynkę.","А тобі що з того? Виглядаєш так, ніби сам міг би вбити тих стервожерів.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-61662-0","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:103","Aleś ty ostrożny. To dobrze! Po pierwsze: pamiętam, jak sam zostałem tu wrzucony i wszyscy próbowali mnie orżnąć albo zabić.","А ти обережний. Добре! По-перше, я пам'ятаю, як це - бути закинутим сюди, коли всі намагаються тебе надурити.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-66721","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:104","Po drugie: jeśli się okaże, że jesteś choć ODROBINĘ mniej bezużyteczny niż przeciętna świeżynka, mogę ci doradzić, żebyś olał to, co pewnie nagadał ci Diego, i spróbował dołączyć do NASZEGO obozu – Nowego Obozu.","По-друге, якщо виявиться, що ти хоча б ТРІШКИ менш марний, ніж середній новачок, скажу тобі начхати на те, що тобі сказав Дієґо, і спробувати приєднатися до НАШОГО табору - Нового табору - краще.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-59742","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:107","Przynajmniej z nami nie będziesz musiał do końca życia włazić w dupę Gomezowi.","Такий, де тобі не доведеться до кінця життя закидати Ґомезу цукор в дупу.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-43603","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:109","Nie jestem zainteresowany.","Мені це не цікаво.","","False","DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_No","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:110","Umowa stoi. Jaki jest plan?","Домовилися. Яка стратегія?","","False","DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_About_Plan","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:114","A ten wasz gang ma przywódcę?","У вашій банді є ватажок?","","False","DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_About_Leader","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:117","Skąd mam wiedzieć, że to nie pułapka?","Звідки мені знати, що це не пастка?","","False","DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_Maybe_Its_A_Trap","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:122","Nie brzmisz, jakbyś był z Khorinis.","Твоя загальна мова не звучить так, ніби ти з Хорініса.","","False","DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_You_Are_Not_From_Khorinis","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:129","„Naszym” ognisku?","Нашому вогнищі?","","False","DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_About_Fire","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:132","A ten wasz gang ma przywódcę?","У вашій банді є ватажок?","","False","TEXT_DAVID_20230811_170556_41","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:132","Ma – Laresa. Ale powtarzam: to nie jest taki układ jak w Starym Obozie. Dowodzi, bo najlepiej nadaje się do tej roboty, i tyle. Kiedy to się zmieni, ustąpi miejsca komuś lepszemu.","Так, є - Ларес. Але, це не так, як у Старому Таборі. Ми слухаємось його, бо він найкраще підходить для цієї роботи, і все. Щойно щось зміниться, йому доведеться піти.","","False","TEXT_DAVID_20230811_170615","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:143","Umowa stoi. Jaki jest plan?","Домовилися. Яка стратегія?","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-66022","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:144","Nie potrzebujemy planu. Te ptaszyska są głupie jak but, więc po prostu wpadasz i je zabijasz.","Нема жодного. Ці птахи тупі, як камінь, тому нападай на них і стріляй.","","False","TEXT_DAVID_20230811_170008","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:148","Tylko nie daj się otoczyć. Daj znać, jak będziesz gotowy. Wtedy wyruszymy.","Тільки не дозволяй їм себе оточити. Скажеш, коли будеш готовий, і ми підемо.","","False","TEXT_DAVID_20230811_170018","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:153","Nie jestem zainteresowany.","Мені це не цікаво.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-34325","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:153","Nie przepadasz za towarzystwem, co? Głupie podejście, ale jak sobie chcesz. Tylko trzymaj się z daleka od moich ścierwojadów, bo mogę cię z którymś pomylić.","Не простий чоловік, еге ж? Дурне запитання, як на мене, але добре. Тільки тримай свої руки подальше від стервожерів, а то я можу переплутати тебе з одним з них.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-97644-2","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:179","Zapolujmy.","Ходімо полювати.","","False","DIA_ORG_819_Drax_Lets_Hunt.description","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:184","Zapolujmy.","Ходімо полювати.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-36233","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:186","I to właśnie chciałem usłyszeć. Broń masz?","Музика для моїх вух. У тебе є зброя?","","False","Drax-CH0-None-Drax-27879","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:193","Tak.","Так.","","False","Drax-CH0-None-Hero-90162","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:194","Dobrze. No to chodź za mną.","Добре. Тоді йди за мною.","","False","Drax-CH0-None-Drax-91362","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:196","Nie.","Ні.","","False","Drax-CH0-None-Hero-54250","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:202","Jaja sobie robisz? To weź jakąś znajdź. Mogę zaczekać jeszcze parę minut.","Ти серйозно? То знайди собі іншу. Я можу почекати ще кілька хвилин.","","False","Drax-CH0-None-Drax-3588-0","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:224","Może za chwilę.","Може, пізніше.","","False","DIA_ORG_819_Drax_Hunting_Maybe_Later.description","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:232","Może za chwilę.","Може, пізніше.","","False","Kirgo-CH0-G1RDemo_KirgoFight-Hero-79373","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:236","Dobrze, mogę chwilę poczekać.","Я зачекаю ще кілька хвилин.","","False","Drax-CH0-None-Drax-3588-1","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:291","Zapomnij o ścierwojadach.","Забудь про стервожерів.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-50312","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:292","Dlaczego?","Навіщо?","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-62484","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:292","Bo ktoś je ukatrupił, kiedy nie patrzyłem. Jestem PEWIEN, że to nie byłeś ty.","Бо хтось вбив їх, поки я не бачив. Впевнений, що це був не ти.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-43473","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:294","Dobra, chuj z tym. Wracam do obozu. Na kolację będzie suszone mięso...","Що ж, до дупи, я повертаюся до табору. На вечерю буде в'ялене м'ясо. ...","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-95185","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:280","Chodźmy.","Ходімо.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-78430","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:280","Ha! Niezła zdobycz.","Ха! Оце так нагорода.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-18631","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:283","Miałem zamiar wypatroszyć je tutaj, ale skoro Rat jest już w obozie, nie traćmy więcej czasu. Spotkamy się na miejscu, młody! Dobra robota.","Я збирався випатрати їх тут, але якщо Рет вже в таборі, не марнуймо часу. Зустрінемося там, новенький! Гарна робота.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-16681","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:295","Ale co z naszą umową? Ciągle potrzebuję noclegu.","А як же наша угода? Мені все одно треба десь переночувати.","","False","Drax-CH0-G1RDemo_DraxHunt-Hero-1376","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:297","Taa... Współczuję, naprawdę. Niestety, nic w życiu nie ma za darmo.","Так, співчуваю, справді. На жаль, ніщо в цьому житті не є безплатне.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-70710","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:306","Rozejrzyj się po okolicy. Na pewno sobie coś znajdziesz.","Оглянься навколо - впевнений, ти знайдеш собі інше місце.","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-40881","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:311","Nie jesteś z tych, którzy lubią planować, co? Nieważne. Mamy skubańce. Wiesz, jak się je patroszy?","Плани - це не твоя стихія, чи не так? А, ну добре, неважливо. Ми їх дістанемо. Вмієш потрошити?","","False","Drax-CH0-G1RDemo_FindJorik-Drax-80360","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:314","Dobra robota! Nawet niezła ta zdobycz. Słuchaj, wiesz, jak się je patroszy?","Ха! Молодець, це дуже солодка здобич. Вмієш потрошити?","","False","Drax-CH0-G1RDemo_FindJorik-Drax-55131","",""
