"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","","","","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","","","","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","","","","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","","","","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","","","","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","","","","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","","","","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","","","","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","","","","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","","","","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","","","","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","","","","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","","","","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","","","","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","","","","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","","","","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","","","","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","","","","NOV_ARMOR_L.name","",""
"Content/Items/Armor.d:655","Lekka zbroja Nowicjusza","","","","NOV_ARMOR_M.name","",""
"Content/Items/Armor.d:687","Zbroja Nowicjusza","","","","NOV_ARMOR_H.name","",""
"Content/Items/Armor.d:721","Lekka zbroja Świątynna","","","","TPL_ARMOR_L.name","",""
"Content/Items/Armor.d:753","Zbroja Świątynna","","","","TPL_ARMOR_M.name","",""
"Content/Items/Armor.d:785","Ciężka zbroja Świątynna","","","","TPL_ARMOR_H.name","",""
"Content/Items/Armor.d:821","Szata Guru","","","","GUR_ARMOR_M.name","",""
"Content/Items/Armor.d:852","Zdobiona szata Guru","","","","GUR_ARMOR_H.name","",""
"Content/Items/Armor.d:893","Szata Ognia","","","","KDF_ARMOR_L.name","",""
"Content/Items/Armor.d:922","Zdobiona szata Ognia","","","","KDF_ARMOR_H.name","",""
"Content/Items/Armor.d:957","Szata Wody","","","","KDW_ARMOR_L.name","",""
"Content/Items/Armor.d:987","Zdobiona szata Wody","","","","KDW_ARMOR_H.name","",""
"Content/Items/Armor.d:1020","Szata Mrocznych Sztuk","","","","DMB_ARMOR_M.name","",""
"Content/Items/Armor.d:1062","Zbroja z pancerzy pełzaczy","","","","CRW_ARMOR_H.name","",""
