"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/SVM.d:324","Hej, ty!","Hej, ty!","","False","Hero-CH0-None-Hero-17013","",""
"Content/Story/SVM.d:325","Cóż... pora rozpocząć nowe życie...","Tak tohle je můj nový život...","","False","Hero-CH0-None-Hero-12036","",""
"Content/Story/SVM.d:326","To kiepski pomysł. Jeśli znajdą mnie tu śpiącego, to już po mnie.","To není dobrý nápad. Když mě tady najdou spát, zabijou mě.","","False","Hero-CH0-None-Hero-20445","",""
"Content/Story/SVM.d:328","Hmm... to miejsce się nada. Ale ktoś już z niego korzysta. Może jeśli go znajdę...","Hmm... tohle by místo by šlo. Ale někdo tady už je. Kdybych ho našel...","","False","Hero-CH0-None-Hero-62833","",""
"Content/Story/SVM.d:333","Miał przy sobie ten rysunek. Spójrz.","No, měl tenhle obrázek. Počkej, mám ho tady.","","False","Drax-CH0-None-Hero-68340","",""
"Content/Story/SVM.d:342","Schowaj tę cholerną broń!","Dej tu zatracenou zbraň pryč!","","False","Diego-CH0-None-Diego-23432","",""
"Content/Story/SVM.d:343","Prosisz się o lanie? Schowaj to!","Chceš, abych ti dal do zubů? Dej tu věc pryč!","","False","Diego-CH0-None-Diego-85171","",""
"Content/Story/SVM.d:346","Sam się o to prosiłeś!","Řekl sis o to!","","False","Diego-CH0-None-Diego-84477","",""
"Content/Story/SVM.d:346","No i bardzo dobrze.","No, tak to je.","","False","Diego-CH0-None-Diego-77772","",""
"Content/Story/SVM.d:347","Wybacz, że cię zatrzymałem, jak sytuacja?","Promiň, že jsem tě nechal čekat. Tak co tu máme?","","False","Diego-CH0-None-Diego-67078","",""
"Content/Story/SVM.d:348","Tylko trzy? Myślałem, że będzie gorzej.","Tři, říkáš? Čekal jsem víc.","","False","Diego-CH0-None-Diego-78525","",""
"Content/Story/SVM.d:349","Zgadza się. Dokładnie tak jak my dymamy ich.","Přesně tak. Tak jako my.","","False","Diego-CH0-None-Diego-82774","",""
"Content/Story/SVM.d:350","Zauważyłeś, że beczki z rudą z tego miesiąca miały wyjątkowo grube dno?","Všiml sis, že naše sudy s rudou mají tenhle měsíc obzvlášť tlustý dno?","","False","Diego-CH0-None-Diego-71218","",""
"Content/Story/SVM.d:352","...że beczki miały wyjątkowo grube dno.","...že ty sudy měly hodně tlustý dno.","","False","Diego-CH0-None-Diego-18638","",""
"Content/Story/SVM.d:352","Tylko tyle wiem.","To je vše, co vím.","","False","Diego-CH0-None-Diego-23669","",""
"Content/Story/SVM.d:353","To wszystko gierki, Świstak. Oni dymają nas, a my ich – i tak to się toczy, dopóki bogowie nie odwalą kity.","Je to hra, Whistlere - oni oblbnou nás a my je, a tak to bude pokračovat, dokud bohové nebudou pod drnem.","","False","Diego-CH0-None-Diego-5000","",""
"Content/Story/SVM.d:360","Dobra. Dzięki, Świstak!","Dobrá. Díky, Whistlere.","","False","Diego-CH0-None-Diego-38791","",""
"Content/Story/SVM.d:366","Odłoż broń, kretynie!","Dej tu zbraň dolů, idiote!","","False","Whistler-CH0-None-Whistler-17469","",""
"Content/Story/SVM.d:368","Odłóż broń albo cię załatwię!","Dej to pryč, nebo tě sejmu!","","False","Whistler-CH0-None-Whistler-31444","",""
"Content/Story/SVM.d:374","No. Masz szczęście.","Tak to máš štěstí!","","True","Whistler-CH0-None-Whistler-7791","",""
"Content/Story/SVM.d:375","Spieprzaj!","Vypadni.","","False","Whistler-CH0-None-Whistler-53621-0","",""
"Content/Story/SVM.d:375","Znowu próbowali nas okantować na zbożu, suczesyny.","Hajzlové, zase se nás pokusili ošidit na obilí.","","False","Diego-CH0-None-Whistler-93885","",""
"Content/Story/SVM.d:376","Na dnie są trzy zarobaczone worki... Założę się o dziesięć bryłek rudy, że będą udawali zdziwionych.","Tři spodní pytle jsou plné červů... vsadím se o deset nugetů, že budou dělat, jako by o tom nic nevěděli.","","False","Diego-CH0-None-Whistler-25347","",""
"Content/Story/SVM.d:378","Więc pozwolimy im dalej dymać nas bez mydła?","Takže je prostě necháme nás ojebávat?","","False","Diego-CH0-None-Whistler-46374","",""
"Content/Story/SVM.d:379","Więc chcesz mi powiedzieć, że...","Ty tvrdíš...","","False","Diego-CH0-None-Whistler-58295","",""
"Content/Story/SVM.d:380","Ale z ciebie poeta. Dobra, jebać to.","Ty jsi fakt básník. No, vem to čert.","","False","Diego-CH0-None-Whistler-36003","",""
"Content/Story/SVM.d:384","Sprawdzę tę partię i przygotuję ją do transportu.","Ještě se podívám na dodávku a zítra se připravím na odvoz.","","True","Diego-CH0-None-Whistler-46247","",""
"Content/Story/SVM.d:389","Jasne.","Jasně.","","False","Diego-CH0-None-Whistler-2972","",""
"Content/Story/SVM.d:393","Co ty, kurwa, wyprawiasz?","Hej, co to má být?","","True","Orry-CH0-None-Orry-1075","",""
"Content/Story/SVM.d:395","Odłóż to. Natychmiast.","Vem si tu zbraň. Dej ji dolů.","","True","Orry-CH0-None-Orry-37151","",""
"Content/Story/SVM.d:395","No dobra!","No dobrá!","","False","Orry-CH0-None-Orry-22114","",""
"Content/Story/SVM.d:399","I nie waż się znowu tym machać.","Už se ke mně nikdy nepostřehni.","","True","Orry-CH0-None-Orry-24165","",""
"Content/Story/SVM.d:404","Zabieraj się. Miałeś już okazję się wykazać.","Vypadni, měl jsi šanci.","","True","Orry-CH0-None-Orry-21502","",""
"Content/Story/SVM.d:407","Nie celuj we mnie tym gównem.","Co máš v plánu s tou zbraní, člověče!","","True","Ratford-CH0-None-Ratford-42075","",""
"Content/Story/SVM.d:408","Głuchy czy głupi? Odłóż to!","Jsi hluchý, nebo blbej?","","True","Ratford-CH0-None-Ratford-48468","",""
"Content/Story/SVM.d:410","Sam się o to prosiłeś!","Řekl sis o to!","","False","Ratford-CH0-None-Ratford-71391","",""
"Content/Story/SVM.d:411","Nie jesteś tak głupi, na jakiego wyglądasz.","Nejsi tak hloupý, jak vypadáš.","","True","Ratford-CH0-None-Ratford-97616","",""
"Content/Story/SVM.d:412","Odwal się.","Vypadni!","","True","TEXT_WIP_JNJMDGE_20240715_153503","",""
"Content/Story/SVM.d:415","Nie teraz.","Teď ne.","","True","Ratford-CH0-None-Ratford-44688","",""
"Content/Story/SVM.d:417","Odwal się. Masz coś na obiad?","Drž hubu. Máš něco k jídlu?","","True","Drax-CH0-None-Ratford-71939","",""
"Content/Story/SVM.d:417","To prawdopodobnie ten cieniostwór. Musimy być uważniejsi w nocy.","Nejspíš stínové šelmy. Měli bychom být opatrní.","","True","Drax-CH0-None-Ratford-33049","",""
"Content/Story/SVM.d:418","Nie pokazuj tego gówna ludziom i przestań pleść bzdury. Jorik za dużo jarał i mu odwaliło – koniec tematu.","Nech si ten stůl a nemluv o tom. Jorik příliš kouřil a teď je blázen. Konec toho.","","True","Drax-CH0-None-Ratford-90529","",""
