"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","Lehké kalhoty kopáče","","False","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","Kalhoty kopáče","","False","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","Oděv Stína","","","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","Zbroj Stína","","","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","Lehká zbroj stráže","","","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","Zbroj stráže","","","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","Těžká zbroj stráže","","","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","Přepychový oděv","","","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","Gomezova zbroj","","","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","Těžká zbroj Rudobarona","","","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","Rudařské oblečení","","","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","Lehký oděv bandity","","","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","Oděv bandity","","","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","Těžký oblek bandity","","","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","Lehká zbroj žoldáka","","","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","Zbroj žoldáka","","","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","Těžká zbroj žoldáka","","","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","Bederní rouška novice","","","NOV_ARMOR_L.name","",""
"Content/Items/Armor.d:655","Lekka zbroja Nowicjusza","Lehká zbroj novice","","","NOV_ARMOR_M.name","",""
"Content/Items/Armor.d:687","Zbroja Nowicjusza","Zbroj novice","","","NOV_ARMOR_H.name","",""
"Content/Items/Armor.d:721","Lekka zbroja Świątynna","Lehká zbroj templáře","","","TPL_ARMOR_L.name","",""
"Content/Items/Armor.d:753","Zbroja Świątynna","Zbroj templáře","","","TPL_ARMOR_M.name","",""
"Content/Items/Armor.d:785","Ciężka zbroja Świątynna","Těžká zbroj templáře","","","TPL_ARMOR_H.name","",""
"Content/Items/Armor.d:821","Szata Guru","Roucho Guru","","","GUR_ARMOR_M.name","",""
"Content/Items/Armor.d:852","Zdobiona szata Guru","Vznešené roucho Guru","","","GUR_ARMOR_H.name","",""
"Content/Items/Armor.d:893","Szata Ognia","Roucho mágů Ohně","","","KDF_ARMOR_L.name","",""
"Content/Items/Armor.d:922","Zdobiona szata Ognia","Vznešené roucho Ohně","","","KDF_ARMOR_H.name","",""
"Content/Items/Armor.d:957","Szata Wody","Roucho Vody","","","KDW_ARMOR_L.name","",""
"Content/Items/Armor.d:987","Zdobiona szata Wody","Vznešené roucho Vody","","","KDW_ARMOR_H.name","",""
"Content/Items/Armor.d:1020","Szata Mrocznych Sztuk","Roucho temných umění","","","DMB_ARMOR_M.name","",""
"Content/Items/Armor.d:1062","Zbroja z pancerzy pełzaczy","Zbroj z krunýřů důlních červů","","","CRW_ARMOR_H.name","",""
"Content/Items/Armor.d:1096","Starożytna zbroja magiczna","Starobylá rudná zbroj","","","ORE_ARMOR_M.name","",""
"Content/Items/Armor.d:1117","Tę starożytną zbroję wykonano z magicznej rudy.","Tato starobylá zbroj byla vyrobena z magické rudy.","","","ORE_ARMOR_M.TEXT[0]","",""
"Content/Items/Armor.d:1129","Wzmocniona zbroja magiczna","Vylepšená rudná zbroj","","","ORE_ARMOR_H.name","",""
"Content/Items/Armor.d:1148","Kowal Stone jeszcze ją ulepszył!","Kovář Stone ji dokázal vylepšit!","","","ORE_ARMOR_H.TEXT[0]","",""
