"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","","","","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","","","","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","","","","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","","","","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","","","","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","","","","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","","","","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","","","","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","","","","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","","","","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","","","","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","","","","CH0_APlaceToSleep_6","",""
"Content/Story/Log_Constants.d:24","Orry, Strażnik bramy, może podzielić się ze mną informacjami w zamian za piwo. W tym okrutnym miejscu nawet alkohol jest cenny. Jeśli znajdę dla niego piwo, może dowiem się, jak tutaj przetrwać.","","","","CH0_OrryBeer_0","",""
"Content/Story/Log_Constants.d:26","Gdzieś na Placu Wymian musi być jakieś piwo... może poszukam w miejscu, w którym przechowują dostawy z zewnątrz?","","","","CH0_OrryBeer_1","",""
"Content/Story/Log_Constants.d:27","Znalazłem piwo. Pora zanieść je Orry’emu, który pilnuje bramy do Placu Wymian. Ciekawe, co mi powie w zamian.","","","","CH0_OrryBeer_2","",""
"Content/Story/Log_Constants.d:31","Członek Nowego Obozu imieniem Jorik zaginął gdzieś w kanionie. Poszukuje go jego załoga. Jeśli znajdę Jorika, być może zapewnię sobie bezpieczny nocleg.","","","","CH0_FindJorik_0","",""
"Content/Story/Log_Constants.d:33","Jorik zniknął gdzieś w kanionie. Jeśli go odnajdę lub dowiem się, co go spotkało, zyskam przychylność łowców i zapewnię sobie bezpieczny nocleg.","","","","CH0_FindJorik_1","",""
"Content/Story/Log_Constants.d:37","Pewien łowca z tak zwanego Nowego Obozu zaoferował pożywienie i schronienie w zamian za pomoc przy polowaniu na ścierwojady. Polowanie wydaje się mało skomplikowane, ale lepiej zachować ostrożność.","","","","CH0_DraxHunt_0","",""
"Content/Story/Log_Constants.d:39","Powinienem powiedzieć Draxowi, że jestem gotów na polowanie. Czeka na mnie w pobliżu wejścia do doliny.","","","","CH0_DraxHunt_1","",""
"Content/Story/Log_Constants.d:41","Zanim wyruszę na polowanie z Draxem, muszę znaleźć jakąś broń. Na pewno znajdę coś w okolicy.","","","","CH0_DraxHunt_2","",""
"Content/Story/Log_Constants.d:41","Drax twierdzi, że ścierwojady nie są groźne, ale nie jestem do końca przekonany. Powinienem uważać podczas polowania.","","","","CH0_DraxHunt_3","",""
"Content/Story/Log_Constants.d:45","Kirgo, strażnik ze Starego Obozu i wojownik walczący na arenie, zaproponował mi sparing. To dla mnie szansa, by dowieść swojej wartości i nauczyć się cennych umiejętności walki. Jeśli się wykażę, zyskam szacunek.","","","","CH0_KirgoFight_0","",""
"Content/Story/Log_Constants.d:47","Powinienem powiedzieć Kirgo, że jestem gotowy na sparing. Czeka na mnie w pobliżu zawalonych skał i jest gotów, by sprawdzić moje zdolności.","","","","CH0_KirgoFight_1","",""
"Content/Story/Log_Constants.d:49","Potrzebuję broni do sparingu z Kirgo. W okolicy z pewnością znajdę jakiś oręż.","","","","CH0_KirgoFight_2","",""
